Short name,Name,Alias/MPC cpde,Alternative,Suggested standard name
,"Observatorio Geminis, Dos Hermanas",944,,"Observatorio Geminis, Dos Hermanas"
,Observatorio Helios Ontigola,I62,,Observatorio Helios Ontigola
,"Observatorio Iluro, Mataro",B19,,"Observatorio Iluro, Mataro"
,"Observatorio Iturrieta, Alava",J44,,"Observatorio Iturrieta, Alava"
,"Observatorio Joan Roget, Ager",C17,,"Observatorio Joan Roget, Ager"
,"Observatorio Kappa Crucis, Cordoba",I26,,"Observatorio Kappa Crucis, Cordoba"
,"Observatorio Kappa Crucis, Montevideo",913,,"Observatorio Kappa Crucis, Montevideo"
,Observatorio La Avejerilla,J56,,Observatorio La Avejerilla
,Observatorio La Dehesilla,212,,Observatorio La Dehesilla
,Observatorio La Puebla de Vallbona,J67,,Observatorio La Puebla de Vallbona
,"Observatorio La Senda, Cabanillas del Campo",G38,,"Observatorio La Senda, Cabanillas del Campo"
,"Observatorio La Vara, Valdes",J38,,"Observatorio La Vara, Valdes"
,"Observatorio Las Vaguadas, Badajoz",I54,,"Observatorio Las Vaguadas, Badajoz"
,"Observatorio Les Pedritxes, Matadepera",G08,,"Observatorio Les Pedritxes, Matadepera"
,"Observatorio Linceo, Santander",J59,,"Observatorio Linceo, Santander"
,"Observatorio Lledoner, Vallirana",K08,,"Observatorio Lledoner, Vallirana"
,"Observatorio Longa Vista, Sao Paulo",G44,,"Observatorio Longa Vista, Sao Paulo"
,"Observatorio Los Algarrobos, Salto",I38,,"Observatorio Los Algarrobos, Salto"
,Observatorio Los Cabezones,X12,,Observatorio Los Cabezones
,"Observatorio Los Campitos, Canuelas",I36,,"Observatorio Los Campitos, Canuelas"
,"Observatorio Los Milanos, Caceres",I71,,"Observatorio Los Milanos, Caceres"
,Observatorio Majadahonda,L46,,Observatorio Majadahonda
,Observatorio Manises,J98,,Observatorio Manises
,Observatorio Mazagon Huelva,Z69,,Observatorio Mazagon Huelva
,"Observatorio MOMA, Oviedo",L94,,"Observatorio MOMA, Oviedo"
,"Observatorio Montagut, Can Sola",K06,,"Observatorio Montagut, Can Sola"
,"Observatorio Montana Blanca, Tias",J46,,"Observatorio Montana Blanca, Tias"
,"Observatorio Montana Cabreja, Vega de San Mateo",J45,,"Observatorio Montana Cabreja, Vega de San Mateo"
,Observatorio Montcabre,213,,Observatorio Montcabre
,Observatorio Monte Deva,945,,Observatorio Monte Deva
,Observatorio Nazaret,J47,,Observatorio Nazaret
,"Observatorio Nira, Tias",J29,,"Observatorio Nira, Tias"
,"Observatorio Norba Caesarina, Aldea Moret",Z71,,"Observatorio Norba Caesarina, Aldea Moret"
,"Observatorio Nuevos Horizontes, Camas",Z73,,"Observatorio Nuevos Horizontes, Camas"
,"Observatorio Orbis Tertius, Cordoba",X14,,"Observatorio Orbis Tertius, Cordoba"
,"Observatorio Panameno, San Pedro de Atacama",W95,,"Observatorio Panameno, San Pedro de Atacama"
,Observatorio Pinsoro,J52,,Observatorio Pinsoro
,Observatorio Pla D'Arguines,941,,Observatorio Pla D'Arguines
,"Observatorio Polop, Alicante",Z93,,"Observatorio Polop, Alicante"
,Observatorio Pozuelo,956,,Observatorio Pozuelo
,"Observatorio Principia, Malaga",I78,,"Observatorio Principia, Malaga"
,"Observatorio Pueyrredon, La Lonja",X38,,"Observatorio Pueyrredon, La Lonja"
,Observatorio Remoto Bosque Alegre,X13,,Observatorio Remoto Bosque Alegre
,"Observatorio Rho Ophiocus, Las Rozas de Madrid",I94,,"Observatorio Rho Ophiocus, Las Rozas de Madrid"
,Observatorio Rodeno,939,,Observatorio Rodeno
,Observatorio Royal Park,C02,,Observatorio Royal Park
,"Observatorio Sant Pere, Mataro",B56,,"Observatorio Sant Pere, Mataro"
,Observatorio Sierra Contraviesa,Z85,,Observatorio Sierra Contraviesa
,"Observatorio Sirius, Las Lomas",Z75,,"Observatorio Sirius, Las Lomas"
,Observatorio Solar Carl Sagan,,,Observatorio Solar Carl Sagan
,"Observatorio SPAG Monfrague, Palazuelo-Empalme",J07,,"Observatorio SPAG Monfrague, Palazuelo-Empalme"
,"Observatorio Taya Beixo, Barquisimeto",306,,"Observatorio Taya Beixo, Barquisimeto"
,"Observatorio Terminus, A Coruna",Z44,,"Observatorio Terminus, A Coruna"
,"Observatorio Tesla, Valdemorillo",I76,,"Observatorio Tesla, Valdemorillo"
,"Observatorio Torreaguila, Barbano",Z68,,"Observatorio Torreaguila, Barbano"
,"Observatorio TRZ, Betera",Z98,,"Observatorio TRZ, Betera"
,"Observatorio UCM, Madrid",I86,,"Observatorio UCM, Madrid"
,"Observatorio Ventilla, Madrid",J30,,"Observatorio Ventilla, Madrid"
,"Observatorio Via Lactea, Ager",C21,,"Observatorio Via Lactea, Ager"
,Observatorio Zaldibia,Z60,,Observatorio Zaldibia
,"Observatorio Zonalunar, Puzol",J08,,"Observatorio Zonalunar, Puzol"
,"Observatorio Zuben, Alhaurin de la Torre",Z57,,"Observatorio Zuben, Alhaurin de la Torre"
,"Observatory Gromme, Maasmechelen",D09,,"Observatory Gromme, Maasmechelen"
,"Observatory House (Slough, UK)",,,"Observatory House (Slough, UK)"
,"Observatory Hurtado, El Sauce",X01,,"Observatory Hurtado, El Sauce"
,"Observatory Mackay, La Laguna",J48,,"Observatory Mackay, La Laguna"
,"Observatory Mazzarot-1, Baran'",A98,,"Observatory Mazzarot-1, Baran'"
,Observatory of the rue Serpente,,,Observatory of the rue Serpente
,Observatory of the State University of Missouri,738,,Observatory of the State University of Missouri
,Observatory-Astrocamp Manciano,L42,,Observatory-Astrocamp Manciano
,Obsevatorio Astronomico de Marratxi,K12,,Obsevatorio Astronomico de Marratxi
,OCA-Anza Observatory,643,,OCA-Anza Observatory
,Ochiai,368,,Ochiai
,Odessa,086,,Odessa
,"Odessa Astronomical Observatory, Kryzhanovka",A85,,"Odessa Astronomical Observatory, Kryzhanovka"
,Odessa-Mayaki,583,,Odessa-Mayaki
,Odin,,,Odin
OGO,Orbiting Geophysical Observatories,,,OGO
,"Ohio State University Observatory, Lima",H57,,"Ohio State University Observatory, Lima"
,Oishi,373,,Oishi
,Oizumi,411,,Oizumi
,Ojai,669,,Ojai
,Ojima,887,,Ojima
,Okutama,877,,Okutama
,Old Region Astronomical Observatory,,,Old Region Astronomical Observatory
,"Ole Romer Observatory, Aarhus",155,,"Ole Romer Observatory, Aarhus"
,"Olive Farm Observatory, Hoghton",J83,,"Olive Farm Observatory, Hoghton"
,Olmen,C23,,Olmen
,Omsk-Yogik Observatory,N27,,Omsk-Yogik Observatory
,Onan Observatory,,,Onan Observatory
,Ondfejoy Observatory,,,Ondfejoy Observatory
,Ondokus Mayis University Observatory,,,Ondokus Mayis University Observatory
,Ondrejov,557,,Ondrejov
,Ondrejov--BlueEye600 Telescope,L36,,Ondrejov--BlueEye600 Telescope
,Onnens,172,,Onnens
,Onsal Space Observatory,,,Onsal Space Observatory
,Oosato,401,,Oosato
,Ootake,902,,Ootake
,Ooty Radio Telescope,,,Ooty Radio Telescope
,"OPERA Observatory, Saint Palais",Z97,,"OPERA Observatory, Saint Palais"
,"Oppolzer Observatory, Vienna",546,,"Oppolzer Observatory, Vienna"
,Optec Observatory,755,,Optec Observatory
,"OrbitJet Observatory, Colden",227,,"OrbitJet Observatory, Colden"
,Orchard Hill Observatory,,,Orchard Hill Observatory
,Ordubad,129,,Ordubad
ORFEUS,Orbiting and Retrievable Far and Extreme Ultraviolet Spectrometer,,,ORFEUS
,"Organ Mesa Observatory, Las Cruces",G50,,"Organ Mesa Observatory, Las Cruces"
,Orioloromana Observatory,,,Orioloromana Observatory
,Orion 1,,,Orion 1
,Orion 2,,,Orion 2
,Orion Ranch Observatory,,,Orion Ranch Observatory
ORS3,Octahedral Research Satellite 3,ERS-17,,ORS3
ORS4,Octahedral Research Satellite 4,ERS-18,,ORS4
,Orwell Park,582,,Orwell Park
,Orwell Park School Observatory,,,Orwell Park School Observatory
,Osaki,D92,,Osaki
,Osenbach,630,,Osenbach
OSO 1,Orbiting Solar Observatory 1,,,OSO 1
OSO 3,Orbiting Solar Observatory 3,,,OSO 3
OSO 4,Orbiting Solar Observatory 4,,,OSO 4
OSO 5,Orbiting Solar Observatory 5,,,OSO 5
OSO 6,Orbiting Solar Observatory 6,,,OSO 6
OSO 7,Orbiting Solar Observatory 7,,,OSO 7
OSO 8,Orbiting Solar Observatory 8,,,OSO 8
,"Oss. Astronomico di Punta Falcone, Piombino",K45,,"Oss. Astronomico di Punta Falcone, Piombino"
,Osservatorio Antonio Grosso,207,,Osservatorio Antonio Grosso
,"Osservatorio Astron. Margherita Hack, Firenze",A57,,"Osservatorio Astron. Margherita Hack, Firenze"
,Osservatorio Astronomico Campomaggiore,B80,,Osservatorio Astronomico Campomaggiore
,Osservatorio Astronomico di Anzio,K66,,Osservatorio Astronomico di Anzio
,Osservatorio Astronomico di Bellino,K31,,Osservatorio Astronomico di Bellino
,Osservatorio Astronomico di Suno,147,,Osservatorio Astronomico di Suno
,Osservatorio Astronomico di Trieste,A82,,Osservatorio Astronomico di Trieste
,"Osservatorio Astronomico Nastro Verde, Sorrento",C82,,"Osservatorio Astronomico Nastro Verde, Sorrento"
,Osservatorio Astronomico Vallemare di Borbona,A55,,Osservatorio Astronomico Vallemare di Borbona
,"Osservatorio Astronomico, Piobbico",L47,,"Osservatorio Astronomico, Piobbico"
,"Osservatorio Casellina, Scandicci",C98,,"Osservatorio Casellina, Scandicci"
,Osservatorio Castrofilippo,G21,,Osservatorio Castrofilippo
,"Osservatorio Cima Rest, Magasa",B11,,"Osservatorio Cima Rest, Magasa"
,"Osservatorio del Celado, Castello Tesino",K51,,"Osservatorio del Celado, Castello Tesino"
,Osservatorio del Monte Baldo,A99,,Osservatorio del Monte Baldo
,Osservatorio di Casasco,B66,,Osservatorio di Casasco
,Osservatorio di Foligno,K56,,Osservatorio di Foligno
,Osservatorio di Livergnano,436,,Osservatorio di Livergnano
,Osservatorio di Tradate,B13,,Osservatorio di Tradate
,"Osservatorio Elianto, Pontecagnano",K68,,"Osservatorio Elianto, Pontecagnano"
,"Osservatorio Felsina AAB, Montepastore",L19,,"Osservatorio Felsina AAB, Montepastore"
,Osservatorio Palazzo Bindi Sergardi,A69,,Osservatorio Palazzo Bindi Sergardi
,Osservatorio Polino,609,,Osservatorio Polino
,"Osservatorio S. Vittore, Bologna",552,,"Osservatorio S. Vittore, Bologna"
,"Osservatorio Salvatore di Giacomo, Agerola",L07,,"Osservatorio Salvatore di Giacomo, Agerola"
,"Osservatorio Spica, Signa",L39,,"Osservatorio Spica, Signa"
,Ostrorog,A54,,Ostrorog
,"Ostrov Observatory, Constanta",L21,,"Ostrov Observatory, Constanta"
,Osuna,Z77,,Osuna
,Ottawa,H90,,Ottawa
,Otter Creek Observatory,,,Otter Creek Observatory
,Ottmarsheim,224,,Ottmarsheim
,"Oukaimeden Observatory, Marrakech",J43,,"Oukaimeden Observatory, Marrakech"
,Oulu Cosmic-Ray Station,,,Oulu Cosmic-Ray Station
,Ourense,I61,,Ourense
,Overberg,641,,Overberg
,"OVM Observatory, Chiesa in Valmalencom",K43,,"OVM Observatory, Chiesa in Valmalencom"
,Owens Valley Radio Observatory,,,Owens Valley Radio Observatory
,Owens Valley Radio Observatory,,,Owens Valley Radio Observatory
,"Owls and Ravens Observatory, Holzgerlingen",B69,,"Owls and Ravens Observatory, Holzgerlingen"
,Oxford,996,,Oxford
,"P.M.P.H.R. Deep Sky Observatory, Atina",K81,,"P.M.P.H.R. Deep Sky Observatory, Atina"
,"P2 Observatory, Mayhill",I50,,"P2 Observatory, Mayhill"
,P78-1,,,P78-1
,Pacific Lutheran University Keck Observatory,917,,Pacific Lutheran University Keck Observatory
,"Pacific Sky Observatory, Saipan",E04,,"Pacific Sky Observatory, Saipan"
PACT,Pachmarhi Array of Cerenkov Telescopes,,,PACT
,Padua,533,,Padua
,Palermo,535,,Palermo
,Palestrina,C72,,Palestrina
,Palisades-Dows Observatory,,,Palisades-Dows Observatory
,Pallerols,C27,,Pallerols
,"Palmer Divide Observatory, Colorado Springs",716,,"Palmer Divide Observatory, Colorado Springs"
,Palmerston North,486,,Palmerston North
,Palo Alto,U56,,Palo Alto
,Palomar Mountain,675,,Palomar Mountain
,Palomar Mountain/NEAT,644,,Palomar Mountain/NEAT
,Palomar Mountain-DSS,261,,Palomar Mountain-DSS
,Palomar Mountain--ZTF,I41,,Palomar Mountain--ZTF
,Palomar Observatory,,,Palomar Observatory
,Palominas Observatory,925,,Palominas Observatory
PAMELA,Payload for AntimatterMatterExploration and Light-nuclei Astrophics,,,PAMELA
,Panker,A32,,Panker
PanSTARRS,Panoramic Survey Telescope and Rapid Response System,,,PanSTARRS
,"Pan-STARRS 1, Haleakala",F51,,"Pan-STARRS 1, Haleakala"
,"Pan-STARRS 2, Haleakala",F52,,"Pan-STARRS 2, Haleakala"
,Panzano Observatory,,,Panzano Observatory
,Paranal Observatory,,,Paranal Observatory
,Paris,007,,Paris
,Paris Observatory,,,Paris Observatory
,Paris Observatory,,,Paris Observatory
,Parkes Observatory,,,Parkes Observatory
,Parkes-MIT,,,Parkes-MIT
,Parma,A56,,Parma
,Parnal Observatory,,,Parnal Observatory
,Partizanske,457,,Partizanske
,"PASTIS Observatory, Banon",K19,,"PASTIS Observatory, Banon"
,Paul Robinson Observatory,,,Paul Robinson Observatory
,"Paul Robinson Observatory, Voorhees State Park",W67,,"Paul Robinson Observatory, Voorhees State Park"
,"Paus Observatory, Sabadell",B49,,"Paus Observatory, Sabadell"
,Peach Mountain Observatory,,,Peach Mountain Observatory
,Pear Tree Observatory,H23,,Pear Tree Observatory
,"Peking Observatory, Shaho Station",324,,"Peking Observatory, Shaho Station"
,"Peking Observatory, Xinglong Station",327,,"Peking Observatory, Xinglong Station"
,"Peking, Transit of Venus site",278,,"Peking, Transit of Venus site"
,"Penamayor Observatory, Nava",J25,,"Penamayor Observatory, Nava"
,"Penn Heights Observatory, Rickmansworth",I97,,"Penn Heights Observatory, Rickmansworth"
,Penwortham,D86,,Penwortham
,"Penzing Astrometric Obs., Vienna",A73,,"Penzing Astrometric Obs., Vienna"
,Pergignan,635,,Pergignan
,Perkens Observatory,,,Perkens Observatory
,"Perkins Observatory, Delaware",H69,,"Perkins Observatory, Delaware"
,Perth Observatory,,,Perth Observatory
,"Perth Observatory, Bickley",323,,"Perth Observatory, Bickley"
,"Perth Observatory, Bickley-MCT",322,,"Perth Observatory, Bickley-MCT"
,"Perth Observatory, Perth-Lowell Telescope",319,,"Perth Observatory, Perth-Lowell Telescope"
,Peschiera del Garda,A53,,Peschiera del Garda
,"PESCOPE, Port Elizabeth",L68,,"PESCOPE, Port Elizabeth"
,Peterberg Observatory,,,Peterberg Observatory
,Petit Jean Mountain,H41,,Petit Jean Mountain
,Petrozavodsk,B94,,Petrozavodsk
,"Petrozavodsk University Obs., Sheltozero Stn.",C30,,"Petrozavodsk University Obs., Sheltozero Stn."
,Peverell,943,,Peverell
,"PGC, Fregenal de la Sierra",Z10,,"PGC, Fregenal de la Sierra"
,"Phillips Academy Observatory, Andover",I12,,"Phillips Academy Observatory, Andover"
,Phillips Exeter Academy Grainger Observatory,W90,,Phillips Exeter Academy Grainger Observatory
,Phobos-1,,,Phobos-1
,Phobos-2,,,Phobos-2
,Pianoro,610,,Pianoro
,"Piazzano Observatory, Florence",111,,"Piazzano Observatory, Florence"
,Pic du Midi,586,,Pic du Midi
,Pic du Midi Observatory,,,Pic du Midi Observatory
,"Picard Observatory, St. Veit",B27,,"Picard Observatory, St. Veit"
,Pico dos Dias Observatory,,,Pico dos Dias Observatory
,"Picoto Observatory, Leiria",Z38,,"Picoto Observatory, Leiria"
,Piera Observatory,,,Piera Observatory
,"Piera Observatory, Barcelona",165,,"Piera Observatory, Barcelona"
,Pierre Auger Observatory,,,Pierre Auger Observatory
,"Pierre Auger Observatory, Malargue",I47,,"Pierre Auger Observatory, Malargue"
,Pieta,A40,,Pieta
,Pin Oak Observatory,V93,,Pin Oak Observatory
,Pine Bluff Observatory,,,Pine Bluff Observatory
,Pine Mountain Observatory,,,Pine Mountain Observatory
,Pino Torinese,022,,Pino Torinese
,Pinto Valley Observatory,G46,,Pinto Valley Observatory
,Pioneer,,,Pioneer
,Pioneer Venus,,,Pioneer Venus
,Pises Observatory,122,,Pises Observatory
,Pistoia Mountains Astronomical Observatory,,,Pistoia Mountains Astronomical Observatory
,Piszkesteto Stn. (Konkoly),561,,Piszkesteto Stn. (Konkoly)
,Planck,,,Planck
,Planetarium de Vaulx-en-Velin Observatory,L14,,Planetarium de Vaulx-en-Velin Observatory
,Planetarium I Obserwatorium Astronomiczne w Grudziadzu,,,Planetarium I Obserwatorium Astronomiczne w Grudziadzu
,"Platanus Observatory, Lusowko",K80,,"Platanus Observatory, Lusowko"
,"Plateau Observatory for Dome A, Kunlun Station",N43,,"Plateau Observatory for Dome A, Kunlun Station"
PLATO,Planetary Transites and Oscilations of stars,,,PLATO
,Pleasant Groves Observatory,W16,,Pleasant Groves Observatory
,Pleasanton,G61,,Pleasanton
,"Pleiade Observatory, Verona",112,,"Pleiade Observatory, Verona"
,Plessissville,826,,Plessissville
,Plonsk,276,,Plonsk
,"Po Leung Kuk Observatory, Tuen Mun",D16,,"Po Leung Kuk Observatory, Tuen Mun"
,Pola,538,,Pola
,Polar,,,Polar
,"Polaris Observatory, Budapest",B58,,"Polaris Observatory, Budapest"
,Polarlight,,,Polarlight
,Pollack Astronomical Observatory,,,Pollack Astronomical Observatory
,"Polo Astronomico CMF,Foz do Iguacu",X57,,"Polo Astronomico CMF,Foz do Iguacu"
,"Polonia Observatory, San Pedro de Atacama",W98,,"Polonia Observatory, San Pedro de Atacama"
,Ponferrada,Z70,,Ponferrada
,Ponte Uso,L41,,Ponte Uso
,"Popovich Observatory, Ivanivka",L60,,"Popovich Observatory, Ivanivka"
,Port Allen,929,,Port Allen
,Portage Lake Observatory,,,Portage Lake Observatory
,Posadas,J53,,Posadas
,"Possum Observatory, Gisborne",E94,,"Possum Observatory, Gisborne"
,Potenza,162,,Potenza
,Potsdam,042,,Potsdam
,Pousada dos Anoes Observatory,I68,,Pousada dos Anoes Observatory
,Povegliano Veronese,A48,,Povegliano Veronese
,Poway Valley,934,,Poway Valley
,"Powell Observatory, Louisburg",649,,"Powell Observatory, Louisburg"
,Poznan,047,,Poznan
,Poznan Observatory,,,Poznan Observatory
,Prague,541,,Prague
,"Prairie Grass Observatory, Camp Cullom",H59,,"Prairie Grass Observatory, Camp Cullom"
,Prescott,684,,Prescott
,"Preston Hills Observatory, Celina",H28,,"Preston Hills Observatory, Celina"
,"Principia Astronomical Observatory, Elsah",846,,"Principia Astronomical Observatory, Elsah"
,Prognoz 2,,,Prognoz 2
,Prognoz 6,,,Prognoz 6
,Prognoz 7,,,Prognoz 7
,Prognoz 9,,,Prognoz 9
,Promiod,158,,Promiod
PROMPT,"PROMPT, Siding Spring",Q61,,PROMPT
,Proton-1,,,Proton-1
,Proton-2,,,Proton-2
,Proton-4,,,Proton-4
,Prude Ranch,717,,Prude Ranch
,PSU Greenbush Observatory,H48,,PSU Greenbush Observatory
PTF,Palomar Transient Factory,,,PTF
,Puchenstuben,C64,,Puchenstuben
,Puckett Observatory,,,Puckett Observatory
,"Puckett Observatory, Mountain Town",752,,"Puckett Observatory, Mountain Town"
,"Puckett Observatory, Stone Mountain",764,,"Puckett Observatory, Stone Mountain"
,Pula Observatory,,,Pula Observatory
,Pulkovo Observatory,084,,Pulkovo Observatory
,"Pulkovo Observatory Station, Campo Imperatore",C25,,"Pulkovo Observatory Station, Campo Imperatore"
,Puna'auia,931,,Puna'auia
,"Purple Mountain Observatory, Nanking",330,,"Purple Mountain Observatory, Nanking"
,"Purple Mountain Observatory, XuYi Station",D29,,"Purple Mountain Observatory, XuYi Station"
,"Purple Mountain Observatory, Yaoan Station",O49,,"Purple Mountain Observatory, Yaoan Station"
,"Purple Mountain, Hainan Island station",305,,"Purple Mountain, Hainan Island station"
,Putman Mountain Observatory,V60,,Putman Mountain Observatory
,Puzol,J42,,Puzol
,Pymoor,948,,Pymoor
,"QOS Observatory, Zalistci",L18,,"QOS Observatory, Zalistci"
,Quainton,J73,,Quainton
,Quincampoix,A09,,Quincampoix
,Quinns Rock,318,,Quinns Rock
,Quito Astronomical Observatory,781,,Quito Astronomical Observatory
,"Quito, comet astrograph station",782,,"Quito, comet astrograph station"
,Radcliffe Observatory,,,Radcliffe Observatory
,"Radcliffe Observatory, Pretoria",079,,"Radcliffe Observatory, Pretoria"
,Radebeul Observatory,A72,,Radebeul Observatory
,Ragdon,J17,,Ragdon
,Raheny,J41,,Raheny
,"Rainbow Observatory, near Coonabarabran",430,,"Rainbow Observatory, near Coonabarabran"
,Rainwater Observatory,,,Rainwater Observatory
,Ralph A. Worley Observatory,,,Ralph A. Worley Observatory
,Ramonville Saint Agne,959,,Ramonville Saint Agne
,"Rancho Del Sol, Camino",G67,,"Rancho Del Sol, Camino"
,Rancho Palos Verdes,G71,,Rancho Palos Verdes
,Rand II Observatory,W71,,Rand II Observatory
,Rand Observatory,816,,Rand Observatory
,Ranger 3,,,Ranger 3
,Ranger 5,,,Ranger 5
,"Rani Observatory, San Diego",U77,,"Rani Observatory, San Diego"
,Rankin Science Observatory,,,Rankin Science Observatory
,"Rantiga Osservatorio, Tincana",D03,,"Rantiga Osservatorio, Tincana"
,"RAS Observatory, Biggera Waters",E26,,"RAS Observatory, Biggera Waters"
,"RAS Observatory, Moorook",D90,,"RAS Observatory, Moorook"
,"RAS Observatory, Officer",E03,,"RAS Observatory, Officer"
,"RASC Observatory, Alder Springs",U70,,"RASC Observatory, Alder Springs"
,RaSo Observatory,L31,,RaSo Observatory
,"Rattle Snake Observatory, Sedalia",V86,,"Rattle Snake Observatory, Sedalia"
,Rattlesnake Mountain Observatory,,,Rattlesnake Mountain Observatory
,Ray Observatory,362,,Ray Observatory
,Rayleigh,002,,Rayleigh
,Real Instituto y Observatorio de la Armada,,,Real Instituto y Observatorio de la Armada
,"Red Barn Observatory, Ty Ty",H68,,"Red Barn Observatory, Ty Ty"
,Red Mountain Observatory,663,,Red Mountain Observatory
,Redondo Beach,U73,,Redondo Beach
,"Redshed Observatory, Kallham",B36,,"Redshed Observatory, Kallham"
,Reedy Creek,428,,Reedy Creek
,Reilhanette,K16,,Reilhanette
,"Reintal, near Munich",556,,"Reintal, near Munich"
,Remanzacco,473,,Remanzacco
,"Remeis Observatory, Bamberg",521,,"Remeis Observatory, Bamberg"
,Requena,G29,,Requena
,Resse Observatory,591,,Resse Observatory
,Retamar,I91,,Retamar
,"Reynolds Observatory, Potsdam",H91,,"Reynolds Observatory, Potsdam"
,Rezman Observatory,A41,,Rezman Observatory
RHESSI,Reuven Ramaty High Energy Solar Spectroscopic Imager,,,RHESSI
,Ricky Observatory,H46,,Ricky Observatory
,Riethnordhausen,K69,,Riethnordhausen
,Riley Observatory,,,Riley Observatory
,Rimbach,A87,,Rimbach
,Rimbach,C87,,Rimbach
,Rio de Janeiro,880,,Rio de Janeiro
,RIT Observatory,920,,RIT Observatory
,Ritter Observatory,,,Ritter Observatory
,Rivalta,208,,Rivalta
,River Moss Observatory,852,,River Moss Observatory
,River Oaks Observatory,915,,River Oaks Observatory
,River Ridge Observatory,V88,,River Ridge Observatory
,Riverside,856,,Riverside
,Rixeyville,783,,Rixeyville
,RMS Observatory,W25,,RMS Observatory
,"ROAD, San Pedro de Atacama",G39,,"ROAD, San Pedro de Atacama"
,ROASTERR-1 Observatory,L04,,ROASTERR-1 Observatory
,Robert A. Schommer Observatory,,,Robert A. Schommer Observatory
,Robert Brownlee Observatory,,,Robert Brownlee Observatory
,Robinson Observatory,,,Robinson Observatory
,Robotic Lunar Observatory,,,Robotic Lunar Observatory
,"ROCG, Campos dos Goytacazes",Y16,,"ROCG, Campos dos Goytacazes"
,Rochedale (APTA),E25,,Rochedale (APTA)
,Rock Finder Observatory,652,,Rock Finder Observatory
,Rockland Observatory,933,,Rockland Observatory
ROE,Royal Observatory Edinburgh,,,ROE
,"Roeser Observatory, Luxembourg",163,,"Roeser Observatory, Luxembourg"
,Rogers Observatory,,,Rogers Observatory
,Rokycany Observatory,K61,,Rokycany Observatory
,"Rolling Hills Observatory, Warrensburg",V83,,"Rolling Hills Observatory, Warrensburg"
,Rolnick Observatory,,,Rolnick Observatory
,Rolvenden,960,,Rolvenden
Roman,Nancy Grace Roman Space Telescope,WFIRST,,Roman
,Rome Observatory,,,Rome Observatory
,Romito,633,,Romito
,Roq de los Muchachos Observatory,,,Roq de los Muchachos Observatory
,Roque de los Muchachos Observatory,,,Roque de los Muchachos Observatory
,ROSA Observatory,C19,,ROSA Observatory
,Rosarno,K70,,Rosarno
ROSAT,Roentgen Satellite,,,ROSAT
,"Rose Cottage Observatory, Keighley",I80,,"Rose Cottage Observatory, Keighley"
,"Rose-Hulman Observatory, Terre Haute",731,,"Rose-Hulman Observatory, Terre Haute"
,Rosemary Hill Observatory,,,Rosemary Hill Observatory
,"Rosemary Hill Observatory, University of Florida",831,,"Rosemary Hill Observatory, University of Florida"
,Roser Observatory,C79,,Roser Observatory
,Rosetta,,,Rosetta
,Rossall School Observatory,,,Rossall School Observatory
,Rostov,110,,Rostov
,Rothney Astrophysical Observatory,661,,Rothney Astrophysical Observatory
,"ROTSE-III, Los Alamos",439,,"ROTSE-III, Los Alamos"
,Rouet,C09,,Rouet
,Roving Observer,247,,Roving Observer
,Royal Greenwich Observatory,,,Royal Greenwich Observatory
,Royal Observatory Greenwich,,,Royal Observatory Greenwich
,"Royal Observatory, Blackford Hill",277,,"Royal Observatory, Blackford Hill"
,"Royal Observatory, Cape of Good Hope",051,,"Royal Observatory, Cape of Good Hope"
Rubin,Very Rubin Observatory,,LSST,Rubin
,Runcorn,Z47,,Runcorn
,"Rushay Farm Observatory, Sturminster Newton",Z42,,"Rushay Farm Observatory, Sturminster Newton"
,"Rusty Mountain Observatory, Gold Canyon",V05,,"Rusty Mountain Observatory, Gold Canyon"
,Rutherford,795,,Rutherford
,Rutherford Observatory,,,Rutherford Observatory
RXTE,Rossi X-ray Timing Explorer,XTE,,RXTE
,Ryle Telescope,,,Ryle Telescope
,S. Benedetto Po,434,,S. Benedetto Po
,"S. S. Observatory, Pamatai",930,,"S. S. Observatory, Pamatai"
,"S.O.S. Observatory, Minneapolis",H39,,"S.O.S. Observatory, Minneapolis"
,Sabadell,619,,Sabadell
,Sabaru Telescope,,,Sabaru Telescope
,"Sabino Canyon Observatory, Tucson",854,,"Sabino Canyon Observatory, Tucson"
,Sagamore Hill Radio Observatory,,,Sagamore Hill Radio Observatory
,"Saguaro Observatory, Tucson",V11,,"Saguaro Observatory, Tucson"
,Saint-Caprais,A04,,Saint-Caprais
,Sainte Helene,J80,,Sainte Helene
,Saint-Felicien,827,,Saint-Felicien
,Saint-Saturnin-les-Avignon,K21,,Saint-Saturnin-les-Avignon
,Saint-Sulpice,947,,Saint-Sulpice
,Saji Observatory,867,,Saji Observatory
,"Sakai Observatory, Osaka",Q02,,"Sakai Observatory, Osaka"
,Sakamoto,351,,Sakamoto
,Saku,862,,Saku
,Salida,706,,Salida
,"Salvia Observatory, Saulges",I73,,"Salvia Observatory, Saulges"
,Salyut 4,,,Salyut 4
,Samford Valley Observatory,Q79,,Samford Valley Observatory
SAMPEX,"Solar, Anomalous, and Magnetospheric Particle Explorer",,,SAMPEX
,San Clemente,676,,San Clemente
,San Defendente,K33,,San Defendente
,San Emigdio Peak,668,,San Emigdio Peak
,San Fernando,983,,San Fernando
,San Gabriel,J63,,San Gabriel
,San Lazzaro di Savena,B08,,San Lazzaro di Savena
,San Marcello Pistoiese,104,,San Marcello Pistoiese
